Enrico Pontelli
Peng Wang
Philip H. S. Torr
Gabriel Peyre
Brendt Wohlberg
Stephane Mallat
Horst Bischof
Fabio Gagliardi Cozman
Cassio Polpo de Campos
Heng Ji
Ming Zhou
Mehdi Mirza
Aaron Courville
Peter Sollich
Andrea Montanari
Fabio D'Andreagiovanni
Jianpeng Cheng
Patrick M. Pilarski
Anthony Bagnall
Javier Gonzalez
David J. Fleet
Ji Young Lee
Franck Dernoncourt
Michael Chertkov
Jinwoo Shin
Alessandro Lazaric
Li Fei-Fei
Gautam Dasarathy
Richard G. Baraniuk
Xiujun Li
Jianfeng Gao
Aske Plaat
Brian Kulis
Mostafa Dehghani
Aliaksei Severyn
Jaap Kamps
Vincent Gripon
Maithra Raghu
Ben Poole
Jon Kleinberg
Surya Ganguli
Jascha Sohl-Dickstein
Yao Wang
Stephen Tyree
Jan Kautz
James M. Rehg
Xinghao Pan
Dimitris Papailiopoulos
Ce Zhang
Kannan Ramchandran
Benjamin Recht
Hanzi Wang
Martial Hebert
Yan Duan
Xi Chen
John Schulman
Pieter Abbeel
Tengyu Ma
Didier Dubois
Helene Fargier
Li Cheng
Alexander Artikis
Georgios Paliouras
Vikash Mansinghka
Jeffrey Mark Siskind
Barak A. Pearlmutter
Christian Bessiere
George Katsirelos
Nina Narodytska
Claude-Guy Quimper
Toby Walsh
Laurent Najman
Anurag Arnab
Massimiliano Vasile
Teng Qiu
Yongjie Li
Noah Snavely
Kavita Bala
Kenneth O. Stanley
Jeff Clune
Lluis Godo
Aryan Mokhtari
Alejandro Ribeiro
Andras Gyorgy
Csaba Szepesvari
Geoffrey Hinton
Yilun Wang
David Weiss
Joao B. Florindo
Odemir M. Bruno
Caglar Gulcehre
Sungjin Ahn
Bowen Zhou
Philippe Rigollet
Moustapha Cisse
Laurens van der Maaten
Mauricio A. Alvarez
Deyu Meng
Zongben Xu
Nadia Fawaz
Stratis Ioannidis
Mark Sh. Levin
Marcello Balduccini
Trapit Bansal
David Belanger
Andreas Maurer
Massimiliano Pontil
Bernardino Romera-Paredes
Andrew Zisserman
Iain Murray
Jiang Bian
Weilin Huang
Limin Wang
Yu Qiao
Ross D. Shachter
Tu Dinh Nguyen
Trung Le
Dinh Phung
Subhabrata Mukherjee
Gerhard Weikum
Gustavo Carneiro
Tom Drummond
Normunds Gruzitis
Guntis Barzdins
Ning Xu
Walter J. Scheirer
Purushottam Kar
Harikrishna Narasimhan
Hongteng Xu
Hongyuan Zha
Mohammadreza Soltani
Chinmay Hegde
Gholamreza Haffari
Boyue Wang
Baocai Yin
Serguei A. Mokhov
Ping Li
Joshua T. Vogelstein
Guillermo Sapiro
Percy Liang
Dan Klein
Sridha Sridharan
Clinton Fookes
Arianna Bisazza
Vasile Patrascu
Derek Greene
Padraig Cunningham
Nir Friedman
Simone Calderara
Rita Cucchiara
Alex Kendall
I. Dan Melamed
Eric W. Tramel
Mieczyslaw A. Klopotek
Zhe Wang
Jianping Shi
Hongsheng Li
Jean-Baptiste Mouret
Qiong Wang
Xinggan Zhang
Yu Wu
Lan Tang
Zhiyuan Zha
Shuai Zheng
Feiping Nie
Chris Ding
Heng Huang
Sylvain Arlot
Hassan Foroosh
Kevin Jamieson
Robert Nowak
Niko Brummer
Alessandro Lenci
Nicolas Gillis
Chao Li
Shiliang Pu
Bernard Ghanem
Narendra Ahuja
Simon Parsons
Peter Auer
Jonathan Heras
Jinjun Wang
Yihong Gong
Nanning Zheng
Constantine Caramanis
Sujay Sanghavi
Michel Galley
Chris Brockett
Bill Dolan
Huzefa Rangwala
Alexey Chernov
Salem Benferhat
Henri Prade
Mingyi Hong
Mohammad Javad Shafiee
Alexander Wong
George Biros
Rina Dechter
Soumi Chaki
Aurobinda Routray
Guido Governatori
Ankit Chaudhary
Iztok Fister
Xin-She Yang
Janez Brest
Thanh-Toan Do
Ngai-Man Cheung
Orhan Firat
Joseph Keshet
Djallel Bouneffouf
Hamid Reza Shahdoosti
Stephanie M. Lukin
Marilyn A. Walker
Dong Wang
Fernando Pereira
Ben Taskar
Vishnu Naresh Boddeti
Jeff Schneider
Barnabas Poczos
Wojciech Zaremba
Matthew Blaschko
Junchi Yan
Firas Hamze
Nando de Freitas
Krzysztof R. Apt
Aryeh Kontorovich
Tuomas Sandholm
Arman Cohan
Nazli Goharian
Been Kim
Cynthia Rudin
Tong Wang
Xingdi Yuan
Saizheng Zhang
Adam Trischler
Manaal Faruqui
Yutaka Satoh
Hirokatsu Kataoka
Torsten Schaub
David Mimno
David Blei
Justin Domke
Marc Denecker
Reza Azad
Christopher Meek
Lawrence Carin
Andrei Barbu
Anna Korhonen
Badong Chen
Xin Wang
Jing Qin
Boris Motik
Mark D. Reid
Robert C. Williamson
Dong Xia
Ming Yuan
Frank Nielsen
Zheng Zhang
S L Happy
Maria-Florina Balcan
Yingyu Liang
David P. Woodruff
Hongyang Zhang
Nevin Lianwen Zhang
Miguel A. Carreira-Perpinan
Tamir Hazan
Subhransu Maji
Tommi Jaakkola
Paul Fearnhead
Zhaowen Wang
Thomas Huang
Wouter M. Koolen
Tim van Erven
Harm van Seijen
Juho Kannala
Esa Rahtu
Tuomo Valkonen
Greg Ver Steeg
Aram Galstyan
Carey E. Priebe
Gregory D. Hager
Carl Vondrick
Hamed Pirsiavash
Aude Oliva
Antonio Torralba
Qiang Liu
Jason D. Lee
Xiang Xiang
Chang Liu
Trac D. Tran
Alan L. Yuille
Bernhard Scholkopf
Dominik Janzing
Jonas Peters
Andreas Geiger
Raquel Urtasun
Daniil Ryabko
Emad Saad
Gregory Valiant
David Wipf
A. Darwiche
Andrzej Cichocki
Baosen Zhang
Faustino Gomez
Juergen Schmidhuber
Marek Petrik
Chitta Baral
Katsumi Inoue
Joris Mooij
Tom Heskes
Charles Sutton
Urmila Shrawankar
Aditya Khosla
Jiji Zhang
Peter L. Spirtes
Jeffrey Regier
Michael Jordan
Genevera I. Allen
Robert Tibshirani
Diganta Saha
Guoying Zhao
Jie Chen
Matti Pietikainen
Ilya Tolstikhin
Soumik Sarkar
Daniel Neil
Giacomo Indiveri
Shih-Chii Liu
Michael Pfeiffer
Michael Cogswell
Dhruv Batra
Dat Quoc Nguyen
Mark Johnson
Sanjoy Dasgupta
Xiao Li
Calin Belta
Nikolaus Hansen
Bernardo Cuenca Grau
Ian Horrocks
Ge Li
Yong Wang
Christian Wagner
Uwe Aickelin
Liang Wang
Wenqi Li
Sebastien Ourselin
Tom Vercauteren
Jun Zhu
Bo Zhang
R. Venkatesh Babu
Frans A. Oliehoek
Gedas Bertasius
Jianbo Shi
Hugo Jair Escalante
Vasudeva Varma
Helmut Bolcskei
Martin Gebser
Mehrdad Mahdavi
Rong Jin
Ciprian Chelba
Peng Xu
Noah A. Smith
Siddharth Srivastava
Brejesh Lall
Claire Vernade
Olivier Cappe
David Hsu
Wee Sun Lee
Jianyu Wang
Zhishuai Zhang
Cihang Xie
Lingxi Xie
Shay Moran
Amir Yehudayoff
Jonathan Tompson
Ross Goroshin
Arjun Jain
Junwei Lu
Han Liu
Kunal Narayan Chaudhury
Michael Unser
Amit Kumar Mishra
Xiaojun Chen
Ting Kei Pong
Yizhe Zhang
